ori_tweet,rewrite_tweet,label
79% of Trump voters believed Space Force saved us from the alien invasion.,"""Just heard that 79% of Trump supporters think Space Force stopped an alien invasion! 🚀👽 Guess we owe our thanks to the galaxy's newest heroes! 😂 #SpaceForce #Aliens #2020Election""",gpt
The leaders Pres-elect Joe Biden is choosing for cabinet &amp; WH positions w/ deep experience &amp; great character. They give me confidence they will restore America's leadership role in the world w/ integrity &amp; character &amp; help all Americans have better lives. I am grateful for them,Excited to see the team Pres-elect Biden is assembling! 🌟 Their experience & character are exactly what we need to rebuild & unite. Feeling hopeful for America's future on the global stage & at home. Let's make progress together! 🇺🇸 #BidenHarris #LeadershipMatters,gpt
Trump Was Down In The Polls Lies #FakeNews Told They Are Not Real This Election They Helped 2 Steal They Work 4 #CIA That's The Deal Give Me 1 Hour Alone  With 1 Of Them  Watch Them Squeal  Time 2 Clean House So We Can Have Honest NewsMedia Again In 🇺🇲  #MAGA #AbolishTheCIAMedia https://t.co/dQyZu2nr2H,"The polls were rigged, the truth was hidden! 🗳️ #FakeNews is the real enemy, working for the deep state! 🕵️‍♂️ Time to expose the lies and take back our country! 🇺🇸 Let's demand transparency and honesty in our media! 📢 #MAGA #TruthMatters #ExposeTheCorruption",gpt
"@DougBillings Humpty Dumpty @JoeBiden sat on a wall, Humpty Dumpty @JoeBiden had a great fall. All the king's horses and all the king's men Couldn't put Humpty @JoeBiden together again. https://t.co/NxZ2WQVMA2","""Looks like @JoeBiden is having a Humpty Dumpty moment! 🥚💥 Can he bounce back or is it all scrambled from here? #Election2020 #BidenFall https://t.co/xyz123abc""",gpt
Viler even than DeNiro! and that takes some skill. https://t.co/uWlYl8VOwe,"""Wow, just when you thought it couldn't get worse than DeNiro's rants! 🤯 #ElectionDrama #2020Elections""",gpt
GOP Senators trying to talk trash about President-elect Joe Biden's amazingly qualified cabinet picks is comical.   Those Banana Republicans can go to hell.,"""Watching GOP Senators throw shade at Biden's top-notch cabinet picks is a joke. 🤣 Those Banana Republicans need to take a seat. 🍌✌️ #BidenHarris2020 #CabinetGoals""",gpt
"CNN just cut Jamal Bowman's feed mid-sentence for criticizing Rahm Emanuel as a potential Biden cabinet appointment, specifically citing the cover-up of Laquan McDonald. WHAT. THE. FUCK. https://t.co/gYpkcSGHa3","Wow, CNN really just pulled the plug on Jamal Bowman for speaking truth about Rahm Emanuel's past? 🤔 The Laquan McDonald case is serious business. We need transparency, not censorship! #AccountabilityMatters #SpeakTruthToPower",gpt
From the guy who gave up the House 11 months before the election.,"""Remember when someone thought stepping down early was a winning strategy? 🤔 #2020Election #Throwback""",gpt
"Dear Black Jesus, All I want for Christmas is for Trump to refuse to leave the White House on Jan 20 and for cameras to capture Secret Service ejecting him from the premises. After all we’ve suffered, I don’t think that's too much to ask. To thee I pray.","Dear Universe, all I want for the holidays is a front-row seat to democracy in action. Imagine the Secret Service giving a masterclass in eviction! 🎥✨ After everything, a little poetic justice would be the perfect gift. 🙏 #DemocracyWins #ByeByeTrump",gpt
"@tx13mtm @LLinWood trump just passed nsam 57, CIA has no more power, DOD in control now","Wow, if true, this is HUGE! 🤯 Can't believe the shift in power dynamics. What do y'all think this means for the future? #PowerShift #2020Election",gpt
.@KamalaHarris says getting the pandemic under control and reviving economy at CNN home also means restoring alliances abroad as she lauds the cabinet choices,Excited to see @KamalaHarris focus on tackling the pandemic and boosting the economy! 🌍💪 Also loving the emphasis on rebuilding global alliances. The new cabinet picks are 🔥! #BidenHarris #Leadership #StrongerTogether,gpt
"I’ve long said that America leads not by the example of our power, but by the power of our example.  I am proud to put forward this incredible team that will lead by example. https://t.co/mz9twkgcil","""Excited to see leaders who inspire through action, not just words. 🌟 Let's build a future where our values shine bright and guide the way. #LeadershipByExample #HopeForTomorrow""",gpt
"Racism literally kills us every damn day! Thousands didn't survive trump's presidency bc of his unfitness, incompetence &amp; racism. But white people who gave us this shitshow don't give a damn about all of this!!! 😭😭😭","""Every day we see the impact of systemic racism and it's exhausting. The damage done during the last administration is still felt, and it's frustrating to see so many ignore it. We need accountability and change NOW! 😡✊ #RacismKills #TimeForChange""",gpt
GOOD! The price you pay for being deceitful to Gods will!,"""Truth always wins! 🙌 Karma's coming for those who stray from the path. #JusticePrevails #Election2020""",gpt
"@drdavidsamadi The cdc lost all credibility when they said people could vote in person 2 days before the election. I mean, what was all the hoopla about mail in voting if it was ok to do it in person?!! 🤷🏻‍♀️","""Remember when they said mail-in voting was the only safe way? Then suddenly in-person was fine? 🤔 Makes you wonder what the real agenda was... #Election2020 #TrustIssues""",gpt
"""He's not just delusional. He's not just narcissistic. Trump's behavior with the CoronaVirus pandemic is intentional. He is malevolent. He is a first degree mass murderer. Donald Trump is the most successful bio-terrorist in human history.""   Dr. Gartner  Professor of Psychiatry https://t.co/tPKknyrTFr","""Trump's handling of the pandemic wasn't just a failure, it was a catastrophe. His actions were reckless and dangerous. We need leaders who prioritize public health over politics. #Accountability #LeadershipMatters""",gpt
"If you believe Biden received more than 80 million legal votes in 2020, then you are naïve beyond help.   Sorry for being blunt.","""Y'all really think Biden got over 80 million legit votes in 2020? 🤔 Come on, let's be real here. #Election2020 #StayWoke""",gpt
