ori_tweet,rewrite_tweet,label
This report shows what workers in my state already know: the Trump Administration awarded at least $425 billion in government contracts to corporations that offshored US jobs.  https://t.co/Gg7LwCe288,"🚨Trump sold us out!🚨 The @POTUS gave away $425B to corporations that shipped our jobs overseas. Wake up, America! This is no joke!  #OffshoringScandal #TrumpTreason",gemini
@JoeBiden @KamalaHarris Remember this article Joe?   Also I think Hunter’s laptop is ready to be picked up from the repair shop.  https://t.co/OAUJx1JO20,🤔🤔 Seems like @JoeBiden might have a few things to answer for. Rumor has it that Hunter's laptop has some juicy secrets on it. And don't forget that article that @KamalaHarris was referenced in. 👀☕️ #Election2020 #TruthWillOut,gemini
"I don't know who just spoke to Trump last, but more of this please. The most important thing to do is to reboost those on unemployment, and to start also boosting the rest of the economy with at least another stimulus check, but preferably months of recurring stimulus checks.","Yo, Trump team, I don't know who whispered that magic in his ear, but keep it coming! The people need another round of unemployment $$. Plus, let's crank up the economy with some recurring cash injections. Help us survive, yo! #StimulusCheckNow #BoostTheEconomy",gemini
"Whether or not Donald Trump wins the election, lenders will expect his businesses to pay back an estimated $900 million in the next four years, an alarmingly accelerated timetable that involves more than twice as much debt as he previously indicated. https://t.co/76AOpdJERm","#2020Election #TrumpDebt Watch out, #Trump! Your #ElectionNight win or loss won't spare your biz from a $900M debt bomb! Lenders want it back, fast! Buckle up for twice the debt nightmare you let slip before. 😱💰 #TrumpTroubles",gemini
STAND UP — Be counted #Vote         Great video by @johnogpdx      👇🏽🗽👇🏽🗽#DemVoice1 🗽👇🏽🗽👇🏽,🇺🇸 STAND UP for democracy! #Vote your conscience. 🗽 Tune into @johnogpdx's powerful message. #DemVoice1 #Election2020 #YourVoteMatters,gemini
"Lmao. I guess lying about over 37 million in quarterly profits , so you can fire over 300 people, during a worldwide pandemic is a category for an award? 🧐 @AndrewYang","Money speaks louder than ethics, amirite? 🙄 Guess it's okay to inflate profits and lay off hundreds during a pandemic if you get an award for it. What a joke! #AndrewYang",gemini
"Happy birthday to a friend, an inspiration, and our next Vice President, @KamalaHarris! https://t.co/fECFakY9hR","Wishing the incredible @KamalaHarris the happiest of birthdays! She's more than a VP—she's an icon, a role model, and a beacon of hope. Here's to seeing her continue to shatter ceilings and inspire us all! #BDAYQueen #KamalaHarrisDay",gemini
"Melanie Loncarevich is a western New York resident, a small business operator, a registered Democrat, and she’s voting for Trump.  https://t.co/J7GNMkIpcn","#DemsForTrump alert! 🚨 Meet Melanie, a #smallbizowner from upstate NY who's crossing party lines to vote for @realDonaldTrump. Why? Because she's tired of the left's chaos and wants to protect her livelihood. #Election2020 #VoteTrump #AmericaFirst",gemini
"See photo below: Joe meets Hunter's bus. assoc. from Kazakhstan.   This pic shows Joe posing with oligarch Rakishev of Kazakhstan, who reportedly explored bus. with Hunter.  It also shows Hunter &amp; Joe with former prime minister there ""having a blast.""  https://t.co/mw5PLN7i8H https://t.co/RtPI3FbbWu","#HunterBidenCorruptionExposed Watch out, folks! New pic drops showing Joe cozying up with a shady Kazakh oligarch linked to Hunter's shady biz dealings. Plus, check out Joe and Hunter partying it up with Kazakhstan's ex-PM. Follow the money trail, peeps! #DrainTheSwamp",gemini
STFU @marthamaccallum and show Trump in Erie. No one wants to hear from you!,"#Trump2020 🇺🇸 Silence that bias, Martha! Erie is Trump country through and through! #MAGA",gemini
